Guidance,,
Ancient History,3,A-Level
Biology,3,A-Level
Business,3,A-Level
Business,3,BTEC National Diploma
Chemistry,3,A-Level
Classical Civilisation,3,A-Level
Computer Science,3,A-Level
Drama,3,A-Level
Economics,3,A-Level
English Language and Literature,3,A-Level
English Language,3,A-Level
English Literature,3,A-Level
Film Studies,3,A-Level
Fine Art,3,A-Level
French,3,A-Level
Further Mathematics,3,A-Level
Geography,3,A-Level
Graphic Communication,3,A-Level
Health and Social Care,3,BTEC National Diploma
Italian,3,A-Level
History,3,A-Level
Law,3,A-Level
Mathematics,3,A-Level
Media Studies,3,A-Level
Philosophy,3,A-Level
Photography,3,A-Level
Physical Education,3,A-Level
Physics,3,A-Level
Politics,3,A-Level
Psychology,3,A-Level
Applied Science,3,BTEC National Diploma
Sociology,3,A-Level
Sport,3,BTEC National Diploma
Textile Design,3,A-Level
Mathematics,2,GCSE
English Language,2,GCSE
Combined Science,2,GCSE
Psychology,2,GCSE
Sociology,2,GCSE
